qns_id,qns_content,options,language,answer,solution,stream,subject_code,subject_id,class_code,topic,subtopic,question_type,difficulty_level
2378713,"""<div style=\""text-align:justify\"">For all <img alt=\""x \\in \\left[ {\\frac{{ - 7}}{2},\\frac{7}{2}} \\right]\"" src=\""16513043361920349545.png\"" \/>&nbsp;let <img src=\""1651304379491779877phpTjvw8iimage.png\"" style=\""width:200px\"" \/>, where [x] denotes greatest integer less than or equal to x and {x} denotes fractional part of x. Find number of solution(s) of the equation <img alt=\""f\\left( x \\right) = \\frac{5}{2}\"" src=\""1651304417587240541.png\"" \/>&nbsp;is equal to .<\/div>\n""","[""<div style=\""text-align:justify\"">2<\/div>\n"",""<div style=\""text-align:justify\"">3<\/div>\n"",""<div style=\""text-align:justify\"">4<\/div>\n"",""<div style=\""text-align:justify\"">Infinite<\/div>\n""]",1,[0],"""""",IIT,MT,3,12,Functions,Miscellaneous/Mixed,Single Correct,EASY
3211012,"""<div style=\""text-align:justify\"">If &alpha;, &beta;, &gamma; are the roots of the equation x<sup>3<\/sup> + 2x<sup>2<\/sup> + 5x + 6 = 0, then the value of&nbsp;&alpha;<sup>2<\/sup>(&beta; + &gamma;) + &beta;<sup>2<\/sup>(&alpha; + &gamma;) + &gamma;<sup>2<\/sup>(&alpha; + &beta;) is :<\/div>\n""","[""<div style=\""text-align:justify\"">&ndash;6<\/div>\n"",""<div style=\""text-align:justify\"">&ndash;12<\/div>\n"",""<div style=\""text-align:justify\"">8<\/div>\n"",""<div style=\""text-align:justify\"">&ndash;18<\/div>\n""]",1,[2],"""<div style=\""text-align:justify\""><img alt=\""\\sum {{\\alpha ^2}\\beta } \"" src=\""1687420397198882970.png\"" \/>&nbsp;= (&alpha;&beta; + &beta;g + &gamma;&alpha;) (&alpha; + &beta; + &gamma;) &ndash; 3&alpha;&beta;&gamma;<br \/>\n= 2(&ndash;5) + 3 &times; 6 = 8<\/div>\n""",IIT,MT,3,13,Quadratic Equation,Theory of equations,Single Correct,MEDIUM
3636843,"""<div style=\""text-align:justify\"">The value of cos 255&deg; + sin 195&deg; is&nbsp;<\/div>\n""","[""<div style=\""text-align:justify\""><img alt=\""\\frac{{\\sqrt 3 \u00a0- 1}}{{2\\sqrt 2 }}\"" src=\""16968417511831883791.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\""\\frac{{\\sqrt 3 \u00a0- 1}}{{\\sqrt 2 }}\"" src=\""16968417591392531935.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\"" - \\left( {\\frac{{\\sqrt 3 \u00a0- 1}}{{\\sqrt 2 }}} \\right)\"" src=\""1696841770401565932.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\""\\frac{{\\sqrt 3 \u00a0+ 1}}{{\\sqrt 2 }}\"" src=\""16968417842098947347.png\"" \/><\/div>\n""]",1,[2],"""""",IIT,MT,3,11,Trigonometric Ratios & Identities,Miscellaneous/Mixed,Single Correct,EASY
2321715,"""<div style=\""text-align:justify\"">The non-conservative force from the following forces :<\/div>\n""","[""<div style=\""text-align:justify\""><img alt=\""4xy\\hat i + 2{x^2}\\hat j\"" src=\""16490791231470334626.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\""x{y^2}\\hat i + {x^2}{y^2}\\hat j\"" src=\""16490791261811143309.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\""\\frac{A}{{\\sqrt {{x^2} + {y^2}} }}\\left( {x\\hat i + y\\hat j} \\right)\"" src=\""16490791292036896450.png\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img alt=\""2{r^3}\\hat r\"" src=\""16490791331755117538.png\"" \/><\/div>\n""]",1,[1],"""<div style=\""text-align:justify\""><img alt=\""\\boxed{\\frac{{\\partial {F_y}}}{{\\partial x}} = \\frac{{\\partial {F_x}}}{{\\partial y}}}\"" src=\""1649079140203624283.png\"" \/><br \/>\n<img alt=\""\\boxed{\\vec F = {F_x}\\hat i + {F_y}\\hat j}\"" src=\""16490791441366601599.png\"" \/><br \/>\nCondition for conservative force.<\/div>\n""",IIT,PH,2,12,W.E.P.,Work Energy Theorem,Single Correct,EASY
1847864,"""0.8 gram-atoms of an &alpha;-emitting radionuclide <img src=\""8_9_401_Q_321377696711.png\"" \/> were placed in a sealed container. If 15.68 litres of He(g) was collected in container kept in 1atm 273K conditions in t hours. Find value of &#39;t&#39; ?""",[],1,6.00,"""""",IIT,PC,5,12,Radioactivity,"Applications of Radioactivity, carbon, rock dating",Integer Decimal,EASY
1237466,"""<div style=\""text-align:justify\"">Find the total number of allotropes contain discrete molecules held together by London forces :-<br \/>\nDiamond &nbsp;, &nbsp;Graphite &nbsp;, &nbsp;Fullerene &nbsp;, &nbsp;White phosphorus &nbsp;, &nbsp;Rhombic sulphur &nbsp;, &nbsp;Black phosphorus<\/div>\n""",[],1,3,"""""",IIT,IC,4,13,CHEMICAL BONDING,Miscellaneous/Mixed,Integer Type Single Digit,EASY
2512782,"""<div style=\""text-align:justify\"">If maximum value of L is achieved for f(x) = g(x), then number of points of non-differentiability of&nbsp;<img alt=\""{\\left( {\\left( {\\frac{{x - 1}}{2}} \\right)\\left( {\\frac{{x - 2}}{3}} \\right)g(x)} \\right)^{\\frac{1}{{2023}}}}\\forall x \\in (0,1)\"" src=\""1657605778926171323.png\"" \/>&nbsp;is\/are<\/div>\n""","[""<div style=\""text-align:justify\"">0<\/div>\n"",""<div style=\""text-align:justify\"">1<\/div>\n"",""<div style=\""text-align:justify\"">2<\/div>\n"",""<div style=\""text-align:justify\"">None of these<\/div>\n""]",1,[2],"""<div style=\""text-align:justify\""><img alt=\""{\\left( {\\mathop {\\lim }\\limits_{n \\to \\infty } \\sum\\limits_{i = 1}^n {x_i^{2021}} f({x_i})\\Delta x} \\right)^2} \\leqslant \\left( {\\mathop {\\lim }\\limits_{n \\to \\infty } \\sum\\limits_{i = 1}^n {{f^2}} ({x_i})\\Delta x} \\right)\\left( {\\mathop {\\lim }\\limits_{n \\to \\infty } \\sum\\limits_{i = 1}^n {x_i^{4042}} \\Delta x} \\right)\"" src=\""1657605552106139309.png\"" \/><br \/>\n<img alt=\""\\int\\limits_0^1 {{f^2}(x)} {\\mkern 1mu} dx = \\frac{1}{{4043}}\"" src=\""1657605590939983604.png\"" \/>, equality holds when f(x) = Ax<sup>2021<\/sup><\/div>\n""",IIT,MT,3,12,Definite Integration,Miscellaneous/Mixed,Comprehension : Single Correct,TOUGH
2471085,"""<div style=\""text-align:justify\"">Mabcdef&nbsp;\u092a\u094d\u0930\u0915\u093e\u0930 \u0915\u0947 \u0938\u0902\u0915\u0941\u0932 = x \u0924\u0925\u093e Mabcd \u092a\u094d\u0930\u0915\u093e\u0930 \u0915\u0947 \u0935\u0930\u094d\u0917 \u0938\u092e\u0924\u0932\u0940\u092f \u0938\u0902\u0915\u0941\u0932 \u0915\u0947 \u091c\u094d\u092f\u093e\u092e\u093f\u0924\u093f\u092f \u0938\u092e\u093e\u0935\u092f\u0935\u093f\u092f\u094b\u0902 \u0915\u0940 \u0938\u0902\u0916\u094d\u092f\u093e = y \u0939\u094b \u0924\u094b (x&ndash;y)&nbsp; \u091c\u094d\u091e\u093e\u0924 \u0915\u0930\u094b ?<\/div>\n""","[""<div style=\""text-align:justify\"">10<\/div>\n"",""<div style=\""text-align:justify\"">12<\/div>\n"",""<div style=\""text-align:justify\"">16<\/div>\n"",""<div style=\""text-align:justify\"">18<\/div>\n""]",2,[1],"""""",JEE MAIN,IC,4,13,Coordination Chemistry,Isomerism,Single Correct,EASY
215561,"""<div style=\""text-align:justify\"">&#39;V&#39; \u0938\u094d \u0915\u0947 \u0921\u094d\u0930\u092e \u0915\u0947 \u0905\u0928\u094d\u0926\u0930, 25 atm \u0926\u093e\u092c \u092a\u0930 \u090f\u0915 \u0905\u0915\u094d\u0930\u093f\u092f \u0917\u0948\u0938 \u092f\u0941\u0915\u094d\u0924 25 L \u0905\u093e\u092f\u0924\u0928 \u0915\u0940 \u0915\u093e\u0901\u091a \u0915\u0940 \u092c\u0928\u094d\u0926 \u0928\u0932\u0940 \u0930\u0916\u0940 \u0939\u0941\u092f\u0940 \u0939\u0948 \u0905\u092c \u0921\u094d\u0930\u092e \u0915\u094b \u092c\u0902\u0926 \u0915\u0930 \u0926\u093f\u092f\u093e \u091c\u093e\u0924\u093e \u0939\u0948\u0964 \u0938\u094d\u0925\u093e\u0928\u093e\u0928\u094d\u0924\u0930\u0923 \u0915\u0947 \u0926\u094c\u0930\u093e\u0928 \u0915\u093e\u0901\u091a \u0915\u0940 \u0928\u0932\u0940 \u091f\u0942\u091f \u091c\u093e\u0924\u0940 \u0939\u0948 \u0924\u0925\u093e \u0921\u094d\u0930\u092e \u0915\u0947 \u0905\u0928\u094d\u0926\u0930 \u0905\u0928\u094d\u0924\u093f\u092e \u0926\u093e\u092c 1.5 atm \u0924\u0915 \u092c\u0922 \u091c\u093e\u0924\u093e \u0939\u0948 \u0924\u094b \u0921\u094d\u0930\u092e \u0915\u093e \u0905\u093e\u092f\u0924\u0928 \u091c\u094d\u091e\u093e\u0924 \u0915\u0940\u091c\u093f\u092f\u0947\u0964 [\u092e\u093e\u0928\u093e\u0915\u093f \u0924\u093e\u092a\u0915\u094d\u0930\u092e \u0928\u093f\u092f\u0924 \u0939\u0948]<\/div>\n<div style=\""text-align:center\""><img src=\""1512983630php7Io5jcimage.png\"" style=\""height:130.994px; width:148.991px\"" \/><\/div>\n""","[""1200 L&nbsp;&nbsp;"",""450 L"",""980 L&nbsp;&nbsp;"",""240 L""]",2,[0],"""<div style=\""text-align:justify\"">P<sub>F<\/sub>V<sub>F<\/sub> = P<sub>1<\/sub>V<sub>1<\/sub> + P<sub>2<\/sub>V<sub>2<\/sub><br \/>\n1.5 &times; V = 25 &times; 25 + 1 &times; (V &ndash; 25)<\/div>\n""",IIT,PC,5,11,Ideal Gas,Problems related with container/piston/SPM,Single Correct,TOUGH
1872279,"""<div style=\""text-align:justify\"">The digit at unit place &nbsp;of&nbsp;<img alt=\""\\sum\\limits_{r = 1}^5 {r(r + 1)(r + 2)} \"" src=\""1629370411990961386.png\"" \/> is<\/div>\n""",[],1,0.00,"""""",IIT,MT,3,11,Sequence & Series,Special sequences/series,Integer Decimal,EASY
